 NUMBER, ELEMENT,ELECTRON CONFIGURATION
66,Dysprosium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f10 ,6s2"
67,Holmium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f11 ,6s2"
68,Erbium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f12 ,6s2"
69,Thulium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f13 ,6s2"
70,Ytterbium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14 ,6s2"
71,Lutetium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d1 ,6s2"
72,Hafnium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d2 ,6s2"
73,Tantalum,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d3 ,6s2"
74,Tungsten,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d4 ,6s2"
75,Rhenium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d5 ,6s2"
76,Osmium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d6 ,6s2"
77,Iridium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d7 ,6s2"
78,Platinum,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d9 ,6s1"
79,Gold,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s1"
80,Mercury,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2"
81,Thallium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p1"
82,Lead,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p2"
83,Bismuth,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p3"
84,Polonium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p4"
85,Astatine,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p5"
86,Radon,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6"
87,Francium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6 ,7s1"
88,Radium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6 ,7s2"
89,Actinium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6 ,6d1 ,7s2"
90,Thorium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6 ,6d2 ,7s2"
91,Protactinium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f2 ,6d1 ,7s2"
92,Uranium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f3 ,6d1 ,7s2"
93,Neptunium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f4 ,6d1 ,7s2"
94,Plutonium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f6 ,7s2"
95,Americium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f7 ,7s2"
96,Curium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f7 ,6d1 ,7s2"
97,Berkelium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f9 ,7s2"
98,Californium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f10 ,7s2"
99,Einsteinium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f11 ,7s2"
100,Fermium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f12 ,7s2"
101,Mendelevium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f13 ,7s2"
102,Nobelium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f14 ,7s2"
103,Lawrencium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f14 ,7s2, 7p1"
104,Rutherfordium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f14 ,6d2 ,7s2"
105,Dubnium,"*1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f14 ,6d3 ,7s2"
106,Seaborgium,"*1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f14 ,6d4 ,7s2"
107,Bohrium,"*1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f14 ,6d5 ,7s2"
108,Hassium,"*1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f14 ,6d6 ,7s2"
109,Meitnerium,"*1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f14 ,6d7 ,7s2"
110,Darmstadtium,"*1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f14 ,6d9 ,7s1"
111,Roentgenium,"*1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f14 ,6d10 ,7s1"
112,Copernium,"*1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f14 ,6d10 ,7s2"
113,Nihonium,"*1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f14 ,6d10 ,7s2, 7p1"
114,Flerovium,"*1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f14 ,6d10 ,7s2, 7p2"
115,Moscovium,"*1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f14 ,6d10 ,7s2, 7p3"
116,Livermorium,"*1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f14 ,6d10 ,7s2, 7p4"
117,Tennessine,"*1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f14 ,6d10 ,7s2, 7p5"
118,Oganesson,"*1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f14, 5d10 ,6s2, 6p6, 5f14 ,6d10 ,7s2, 7p6"
